k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.2,0.2,0.4,1.0,0.2,10.774,9.802,4.382,70.2554,84.6481,25.8357,45.4562,31.6015,23.677
0.2,0.2,0.4,1.0,0.4,11.196,8.398,5.364,78.8473,59.7671,29.3262,44.9539,36.9165,25.2637
0.2,0.2,0.4,1.0,0.6,11.466,7.476,6.016,83.1632,46.4503,35.0739,40.0603,40.6458,28.0545
0.2,0.2,0.4,1.0,0.8,11.57,6.748,6.64,79.2356,39.5716,40.7599,39.0618,44.0393,28.2197
0.2,0.2,0.4,1.0,1.0,12.054,5.82,7.084,86.6764,31.2862,43.5561,34.8955,49.0896,26.3598
0.2,0.2,0.6,0.2,0.2,5.728,10.132,9.098,21.8577,86.9805,100.441,25.4528,19.9085,41.1033
0.2,0.2,0.6,0.2,0.4,6.072,8.572,10.314,24.568,61.8485,109.707,22.7663,26.2178,44.0585
0.2,0.2,0.6,0.2,0.6,5.976,7.598,11.384,24.2479,46.4814,126.329,20.1046,29.374,43.0966
0.2,0.2,0.6,0.2,0.8,5.922,6.71,12.326,24.1202,36.054,139.194,17.2599,30.0575,44.1027
0.2,0.2,0.6,0.2,1.0,5.876,6.024,13.058,24.2892,30.2319,144.604,16.2114,30.2798,45.0507
0.2,0.2,0.6,0.4,0.2,7.246,10.176,7.536,30.4985,89.7485,68.5458,31.4236,28.1765,37.1079
0.2,0.2,0.6,0.4,0.4,7.312,8.926,8.72,33.7341,66.2651,73.9695,31.6023,32.5865,39.9311
0.2,0.2,0.6,0.4,0.6,7.358,8.014,9.586,35.8535,50.1782,82.72,27.7866,36.4591,42.4828
0.2,0.2,0.6,0.4,0.8,7.576,6.984,10.398,36.866,40.1841,90.2601,25.4842,40.2973,41.6677
0.2,0.2,0.6,0.4,1.0,7.482,6.362,11.114,34.0498,30.2635,111.68,21.5025,41.0131,40.5919
0.2,0.2,0.6,0.6,0.2,8.18,10.458,6.32,41.4705,88.2968,51.3844,36.5827,31.0485,32.8972
0.2,0.2,0.6,0.6,0.4,8.522,9.108,7.328,43.2881,68.8059,52.786,36.683,35.2533,36.728
0.2,0.2,0.6,0.6,0.6,8.336,8.234,8.388,41.6264,54.1716,64.787,32.7849,38.2902,39.7367
0.2,0.2,0.6,0.6,0.8,8.644,7.222,9.092,44.1776,44.161,68.3723,31.7165,41.9206,39.1118
0.2,0.2,0.6,0.6,1.0,8.71,6.574,9.674,48.4428,36.6057,71.126,29.1367,46.9353,36.945
0.2,0.2,0.6,0.8,0.2,8.976,10.682,5.3,53.4383,91.5921,30.3828,45.3631,28.7948,29.2399
0.2,0.2,0.6,0.8,0.4,8.998,9.56,6.4,52.4108,68.287,42.8778,40.434,33.8425,35.0401
0.2,0.2,0.6,0.8,0.6,9.48,8.264,7.214,54.6108,53.4973,48.0162,37.4522,40.5584,35.0316
0.2,0.2,0.6,0.8,0.8,9.578,7.574,7.806,63.1863,41.4554,53.1507,33.9381,43.6013,34.6687
0.2,0.2,0.6,0.8,1.0,9.888,6.462,8.608,60.3602,33.6038,61.0845,31.8254,48.2486,33.5061
0.2,0.2,0.6,1.0,0.2,9.516,10.87,4.572,56.8715,95.1274,25.612,47.4981,28.6101,26.1907
0.2,0.2,0.6,1.0,0.4,10.024,9.494,5.44,63.266,67.3447,31.2168,43.3168,35.1938,31.68
0.2,0.2,0.6,1.0,0.6,10.368,8.332,6.258,69.708,53.4647,38.3161,40.6531,39.1674,30.5394
0.2,0.2,0.6,1.0,0.8,10.704,7.412,6.842,67.9322,45.7858,42.2696,39.2264,40.7187,33.1654
0.2,0.2,0.6,1.0,1.0,10.648,6.756,7.554,69.0422,34.7379,52.1073,34.0723,48.0211,31.0673
0.2,0.2,0.8,0.2,0.2,5.25,10.556,9.152,18.3963,90.4117,95.9247,25.0251,21.0561,42.6568
0.2,0.2,0.8,0.2,0.4,5.188,9.412,10.358,18.5658,69.85,108.363,22.8302,23.2031,46.6819
0.2,0.2,0.8,0.2,0.6,5.288,8.144,11.526,20.0371,53.3379,119.705,20.8462,25.9564,47.7618
0.2,0.2,0.8,0.2,0.8,5.284,7.232,12.442,20.3961,39.4851,129.141,18.2747,30.2389,48.0796
0.2,0.2,0.8,0.2,1.0,5.232,6.382,13.344,20.2587,31.2586,141.012,17.3801,32.5974,44.8623
0.2,0.2,0.8,0.4,0.2,6.458,10.922,7.578,31.0624,88.1683,66.052,33.8735,28.1075,36.482
0.2,0.2,0.8,0.4,0.4,6.326,9.76,8.872,27.7352,71.0926,76.6289,28.9241,30.4767,43.9752
